日期,类型,价格,数量,金额,股票代码,股票名称,阶段,利润,利润率,持仓天数
2025-05-22,买入,40.2,2400,96480.0,34,神州数码,牛市,,,
2025-05-23,卖出,39.06,2400,93744.0,34,神州数码,牛市,-2736.0,-2.8358208955223883,1.0
2025-06-25,买入,36.79,2600,95654.0,34,神州数码,牛市,,,
2025-07-30,卖出,39.38,2600,102388.0,34,神州数码,牛市,6734.0,7.039956509921175,35.0
2025-08-08,买入,40.75,2500,101875.0,34,神州数码,牛市,,,
2025-08-11,卖出,39.9,2500,99750.0,34,神州数码,牛市,-2125.0,-2.085889570552147,3.0
2025-08-13,买入,40.92,2400,98208.0,34,神州数码,牛市,,,
2025-08-29,卖出,45.88,2400,110112.0,34,神州数码,牛市,11904.0,12.121212121212121,16.0
2025-09-12,买入,44.33,2500,110825.0,34,神州数码,牛市,,,
2025-10-14,卖出,40.94,2500,102350.0,34,神州数码,牛市,-8475.0,-7.647191518159261,32.0
2025-10-24,买入,39.21,2600,101946.0,34,神州数码,牛市,,,
2025-10-31,结算,43.03,2600,111878.0,34,神州数码,牛市,9932.0,9.742412649834225,7.0
2024-11-29,买入,33.27,3000,99810.00000000001,34,神州数码,震荡,,,
2025-01-03,卖出,33.0,3000,99000.0,34,神州数码,震荡,-810.0000000000146,-0.8115419296663805,35.0
2025-01-15,买入,32.3,3000,96899.99999999999,34,神州数码,震荡,,,
2025-02-26,卖出,53.92,3000,161760.0,34,神州数码,震荡,64860.000000000015,66.93498452012386,42.0
2025-03-12,买入,48.94,3300,161502.0,34,神州数码,震荡,,,
2025-03-25,卖出,44.5,3300,146850.0,34,神州数码,震荡,-14652.0,-9.072333469554557,13.0
2024-06-28,买入,22.75,4300,97825.0,34,神州数码,熊市,,,
2024-07-05,卖出,21.7,4300,93310.0,34,神州数码,熊市,-4515.0,-4.615384615384616,7.0
2024-07-10,买入,22.27,4200,93534.0,34,神州数码,熊市,,,
2024-07-26,卖出,22.86,4200,96012.0,34,神州数码,熊市,2478.0,2.6493039964077236,16.0
2024-08-05,买入,22.56,4300,97008.0,34,神州数码,熊市,,,
2024-08-06,卖出,22.92,4300,98556.00000000001,34,神州数码,熊市,1548.0000000000146,1.595744680851079,1.0
2024-08-07,买入,23.99,4100,98359.0,34,神州数码,熊市,,,
2024-09-10,卖出,24.31,4100,99671.0,34,神州数码,熊市,1312.0,1.3338891204668613,34.0
2024-09-11,买入,25.01,4000,100040.0,34,神州数码,熊市,,,
2024-09-12,卖出,24.8,4000,99200.0,34,神州数码,熊市,-840.0,-0.8396641343462616,1.0
2025-05-15,买入,6.07,16400,99548.0,703,恒逸石化,牛市,,,
2025-05-19,卖出,6.02,16400,98728.0,703,恒逸石化,牛市,-820.0,-0.8237232289950577,4.0
2025-07-04,买入,5.91,16700,98697.0,703,恒逸石化,牛市,,,
2025-07-07,卖出,5.85,16700,97695.0,703,恒逸石化,牛市,-1002.0,-1.015228426395939,3.0
2025-07-11,买入,5.94,16500,98010.0,703,恒逸石化,牛市,,,
2025-07-16,卖出,5.82,16500,96030.0,703,恒逸石化,牛市,-1980.0,-2.0202020202020203,5.0
2025-07-23,买入,6.23,15400,95942.0,703,恒逸石化,牛市,,,
2025-08-04,卖出,5.97,15400,91938.0,703,恒逸石化,牛市,-4004.0,-4.173354735152488,12.0
2025-08-19,买入,6.17,14900,91933.0,703,恒逸石化,牛市,,,
2025-09-04,卖出,6.4,14900,95360.0,703,恒逸石化,牛市,3427.0,3.727714748784441,16.0
2025-09-09,买入,6.68,14300,95524.0,703,恒逸石化,牛市,,,
2025-09-17,卖出,6.49,14300,92807.0,703,恒逸石化,牛市,-2717.0,-2.844311377245509,8.0
2025-09-29,买入,6.76,13700,92612.0,703,恒逸石化,牛市,,,
2025-10-15,卖出,6.57,13700,90009.0,703,恒逸石化,牛市,-2603.0,-2.8106508875739644,16.0
2025-10-23,买入,6.66,13500,89910.0,703,恒逸石化,牛市,,,
2025-10-31,结算,6.7,13500,90450.0,703,恒逸石化,牛市,540.0,0.6006006006006006,8.0
2024-11-14,买入,6.58,15100,99358.0,703,恒逸石化,震荡,,,
2024-11-21,卖出,6.45,15100,97395.0,703,恒逸石化,震荡,-1963.0,-1.9756838905775076,7.0
2024-12-02,买入,6.22,15700,97654.0,703,恒逸石化,震荡,,,
2024-12-17,卖出,6.15,15700,96555.0,703,恒逸石化,震荡,-1099.0,-1.1254019292604502,15.0
2024-12-27,买入,6.11,15800,96538.0,703,恒逸石化,震荡,,,
2025-01-06,卖出,5.99,15800,94642.0,703,恒逸石化,震荡,-1896.0,-1.9639934533551555,10.0
