日期,类型,价格,数量,金额,累计持仓,累计成本,股票代码,股票名称,阶段,利润,利润率,持仓天数
2025-05-22,买入,40.2,2400,96480.0,2400.0,96480.0,34,神州数码,牛市,,,
2025-05-23,卖出,39.06,2400,93744.0,,,34,神州数码,牛市,-2736.0,-2.8358208955223883,1.0
2025-06-05,买入,37.37,2600,97162.0,2600.0,97162.0,34,神州数码,牛市,,,
2025-06-17,卖出,36.35,2600,94510.0,,,34,神州数码,牛市,-2652.0,-2.7294621354027293,26.0
2025-06-25,买入,36.79,2500,91975.0,2500.0,91975.0,34,神州数码,牛市,,,
2025-07-14,卖出,37.4,2500,93500.0,,,34,神州数码,牛市,1525.0,1.6580592552324,53.0
2025-07-23,买入,38.2,2500,95500.0,2500.0,95500.0,34,神州数码,牛市,,,
2025-07-30,卖出,39.38,2500,98450.0,,,34,神州数码,牛市,2950.0,3.0890052356020945,69.0
2025-08-08,买入,40.75,2400,97800.0,2400.0,97800.0,34,神州数码,牛市,,,
2025-08-11,卖出,39.9,2400,95760.0,,,34,神州数码,牛市,-2040.0,-2.085889570552147,81.0
2025-08-13,买入,40.92,2300,94116.0,2300.0,94116.0,34,神州数码,牛市,,,
2025-08-28,卖出,46.08,2300,105984.0,,,34,神州数码,牛市,11868.0,12.609970674486803,98.0
2025-09-15,买入,43.18,2500,107950.0,2500.0,107950.0,34,神州数码,牛市,,,
2025-09-22,卖出,45.66,2500,114149.99999999999,,,34,神州数码,牛市,6199.999999999985,5.743399722093549,123.0
2025-09-29,买入,44.55,2500,111375.0,2500.0,111375.0,34,神州数码,牛市,,,
2025-10-14,卖出,40.94,2500,102350.0,,,34,神州数码,牛市,-9025.0,-8.103254769921437,145.0
2025-10-24,买入,39.21,2700,105867.0,2700.0,105867.0,34,神州数码,牛市,,,
2025-10-31,结算,43.03,2700,116181.0,,,34,神州数码,牛市,10314.0,9.742412649834225,162.0
2024-12-03,买入,34.9,2800,97720.0,2800.0,97720.0,34,神州数码,震荡,,,
2024-12-19,卖出,33.88,2800,94864.0,,,34,神州数码,震荡,-2856.0,-2.9226361031518624,16.0
2025-01-15,买入,32.3,3000,96899.99999999999,3000.0,96899.99999999999,34,神州数码,震荡,,,
2025-02-26,卖出,53.92,3000,161760.0,,,34,神州数码,震荡,64860.000000000015,66.93498452012386,85.0
2025-03-17,买入,48.03,3300,158499.0,3300.0,158499.0,34,神州数码,震荡,,,
2025-03-31,卖出,41.0,3300,135300.0,,,34,神州数码,震荡,-23199.0,-14.636685404955236,118.0
2024-05-22,买入,30.31,3200,96992.0,3200.0,96992.0,34,神州数码,熊市,,,
2024-06-06,加仓,29.39,100,2939.0,3300.0,99931.0,34,神州数码,熊市,,,
2024-06-12,卖出,28.24,3300,93192.0,,,34,神州数码,熊市,-6739.0,-6.743653120653251,21.0
2024-06-28,买入,22.75,4000,91000.0,4000.0,91000.0,34,神州数码,熊市,,,
2024-07-05,卖出,21.7,4000,86800.0,,,34,神州数码,熊市,-4200.0,-4.615384615384616,44.0
2024-07-10,买入,22.27,3900,86853.0,3900.0,86853.0,34,神州数码,熊市,,,
2024-07-24,卖出,23.34,3900,91026.0,,,34,神州数码,熊市,4173.0,4.804669959586888,63.0
2024-09-05,买入,25.45,3600,91620.0,3600.0,91620.0,34,神州数码,熊市,,,
2024-09-10,卖出,24.31,3600,87516.0,,,34,神州数码,熊市,-4104.0,-4.479371316306483,111.0
2024-09-11,买入,25.01,3500,87535.0,3500.0,87535.0,34,神州数码,熊市,,,
2024-09-12,卖出,24.8,3500,86800.0,,,34,神州数码,熊市,-735.0,-0.8396641343462616,113.0
2025-05-15,买入,6.07,16400,99548.0,16400.0,99548.0,703,恒逸石化,牛市,,,
2025-05-19,卖出,6.02,16400,98728.0,,,703,恒逸石化,牛市,-820.0,-0.8237232289950577,4.0
