日期,类型,价格,数量,金额,股票代码,股票名称,阶段,利润,利润率,持仓天数,对应买入日期
2025-05-07,买入,43.38,100,4338.0,34,神州数码,牛市,,,,
2025-05-13,卖出,41.6,100,4160.0,34,神州数码,牛市,-178.0,-4.103273397879207,6.0,2025-05-07
2025-05-22,买入,40.2,100,4020.0000000000005,34,神州数码,牛市,,,,
2025-05-26,卖出,38.0,100,3800.0,34,神州数码,牛市,-220.00000000000045,-5.472636815920408,4.0,2025-05-22
2025-06-24,买入,35.91,100,3590.9999999999995,34,神州数码,牛市,,,,
2025-07-14,卖出,37.4,100,3740.0,34,神州数码,牛市,149.00000000000045,4.149262043998899,20.0,2025-06-24
2025-07-17,买入,38.22,100,3822.0,34,神州数码,牛市,,,,
2025-07-23,卖出,38.2,100,3820.0000000000005,34,神州数码,牛市,-1.9999999999995453,-0.052328623757183286,6.0,2025-07-17
2025-07-28,买入,40.98,100,4098.0,34,神州数码,牛市,,,,
2025-07-29,卖出,39.27,100,3927.0000000000005,34,神州数码,牛市,-170.99999999999955,-4.1727672035138985,1.0,2025-07-28
2025-08-07,买入,41.3,100,4130.0,34,神州数码,牛市,,,,
2025-08-11,卖出,39.9,100,3990.0,34,神州数码,牛市,-140.0,-3.389830508474576,4.0,2025-08-07
2025-08-13,买入,40.92,100,4092.0,34,神州数码,牛市,,,,
2025-08-15,卖出,41.1,100,4110.0,34,神州数码,牛市,18.0,0.43988269794721413,2.0,2025-08-13
2025-09-11,买入,46.15,100,4615.0,34,神州数码,牛市,,,,
2025-09-22,买入,45.66,100,4566.0,34,神州数码,牛市,,,,
2025-09-29,卖出,44.55,100,4455.0,34,神州数码,牛市,-160.0,-3.4669555796316356,18.0,2025-09-11
2025-09-29,卖出,44.55,100,4455.0,34,神州数码,牛市,-111.0,-2.431011826544021,7.0,2025-09-22
2025-10-23,买入,39.38,100,3938.0000000000005,34,神州数码,牛市,,,,
2025-10-31,结算,43.03,100,4303.0,34,神州数码,牛市,364.99999999999955,9.268664296597246,8.0,2025-10-23
2024-11-05,买入,36.0,100,3600.0,34,神州数码,震荡,,,,
2024-11-13,卖出,37.81,100,3781.0,34,神州数码,震荡,181.0,5.027777777777778,8.0,2024-11-05
2024-11-28,买入,33.55,100,3354.9999999999995,34,神州数码,震荡,,,,
2024-12-17,卖出,33.37,100,3336.9999999999995,34,神州数码,震荡,-18.0,-0.5365126676602088,19.0,2024-11-28
2025-01-15,买入,32.3,100,3229.9999999999995,34,神州数码,震荡,,,,
2025-01-27,买入,33.85,100,3385.0,34,神州数码,震荡,,,,
2025-02-19,卖出,56.92,100,5692.0,34,神州数码,震荡,2462.0000000000005,76.22291021671829,35.0,2025-01-15
2025-02-19,卖出,56.92,100,5692.0,34,神州数码,震荡,2307.0,68.1536189069424,23.0,2025-01-27
2025-02-25,买入,54.7,100,5470.0,34,神州数码,震荡,,,,
2025-02-26,卖出,53.92,100,5392.0,34,神州数码,震荡,-78.0,-1.4259597806215722,1.0,2025-02-25
2025-03-07,买入,51.51,100,5151.0,34,神州数码,震荡,,,,
2025-03-24,卖出,45.2,100,4520.0,34,神州数码,震荡,-631.0,-12.250048534265192,17.0,2025-03-07
2024-06-27,买入,22.87,100,2287.0,34,神州数码,熊市,,,,
2024-07-05,卖出,21.7,100,2170.0,34,神州数码,熊市,-117.0,-5.115872321818977,8.0,2024-06-27
2024-07-10,买入,22.27,100,2227.0,34,神州数码,熊市,,,,
2024-07-19,买入,24.3,100,2430.0,34,神州数码,熊市,,,,
2024-07-24,卖出,23.34,100,2334.0,34,神州数码,熊市,107.0,4.804669959586888,14.0,2024-07-10
2024-07-24,卖出,23.34,100,2334.0,34,神州数码,熊市,-96.0,-3.950617283950617,5.0,2024-07-19
2024-08-05,买入,22.56,100,2256.0,34,神州数码,熊市,,,,
2024-08-06,卖出,22.92,100,2292.0,34,神州数码,熊市,36.0,1.5957446808510638,1.0,2024-08-05
2024-08-07,买入,23.99,100,2399.0,34,神州数码,熊市,,,,
2024-08-16,卖出,22.39,100,2239.0,34,神州数码,熊市,-160.0,-6.6694456023343065,9.0,2024-08-07
2024-08-19,买入,22.87,100,2287.0,34,神州数码,熊市,,,,
2024-08-22,卖出,23.23,100,2323.0,34,神州数码,熊市,36.0,1.5741145605596851,3.0,2024-08-19
2024-08-26,买入,24.7,100,2470.0,34,神州数码,熊市,,,,
2024-09-04,卖出,25.43,100,2543.0,34,神州数码,熊市,73.0,2.9554655870445345,9.0,2024-08-26
2025-05-15,买入,6.07,100,607.0,703,恒逸石化,牛市,,,,
2025-05-16,卖出,6.11,100,611.0,703,恒逸石化,牛市,4.0,0.6589785831960462,1.0,2025-05-15
2025-07-10,买入,5.86,100,586.0,703,恒逸石化,牛市,,,,
2025-07-14,卖出,5.93,100,593.0,703,恒逸石化,牛市,7.0,1.1945392491467577,4.0,2025-07-10
2025-07-22,买入,6.03,100,603.0,703,恒逸石化,牛市,,,,
2025-08-01,卖出,5.99,100,599.0,703,恒逸石化,牛市,-4.0,-0.6633499170812603,10.0,2025-07-22
2025-08-19,买入,6.17,100,617.0,703,恒逸石化,牛市,,,,
2025-08-28,卖出,6.3,100,630.0,703,恒逸石化,牛市,13.0,2.106969205834684,9.0,2025-08-19
2025-09-01,买入,6.54,100,654.0,703,恒逸石化,牛市,,,,
2025-09-03,卖出,6.46,100,646.0,703,恒逸石化,牛市,-8.0,-1.2232415902140672,2.0,2025-09-01
2025-09-25,买入,6.46,100,646.0,703,恒逸石化,牛市,,,,
2025-09-29,卖出,6.76,100,676.0,703,恒逸石化,牛市,30.0,4.643962848297214,4.0,2025-09-25
2025-10-23,买入,6.66,100,666.0,703,恒逸石化,牛市,,,,
2025-10-31,结算,6.7,100,670.0,703,恒逸石化,牛市,4.0,0.6006006006006006,8.0,2025-10-23
2024-11-14,买入,6.58,100,658.0,703,恒逸石化,震荡,,,,
2024-11-15,卖出,6.49,100,649.0,703,恒逸石化,震荡,-9.0,-1.3677811550151975,1.0,2024-11-14
2024-11-29,买入,6.15,100,615.0,703,恒逸石化,震荡,,,,
2024-12-17,卖出,6.15,100,615.0,703,恒逸石化,震荡,0.0,0.0,18.0,2024-11-29
2024-12-26,买入,6.09,100,609.0,703,恒逸石化,震荡,,,,
2025-01-03,卖出,6.02,100,602.0,703,恒逸石化,震荡,-7.0,-1.1494252873563218,8.0,2024-12-26
2025-01-07,买入,6.3,100,630.0,703,恒逸石化,震荡,,,,
2025-02-07,买入,6.16,100,616.0,703,恒逸石化,震荡,,,,
2025-02-18,卖出,6.19,100,619.0,703,恒逸石化,震荡,-11.0,-1.746031746031746,42.0,2025-01-07
2025-02-18,卖出,6.19,100,619.0,703,恒逸石化,震荡,3.0,0.487012987012987,11.0,2025-02-07
2025-03-07,买入,6.13,100,613.0,703,恒逸石化,震荡,,,,
2025-03-14,卖出,6.1,100,610.0,703,恒逸石化,震荡,-3.0,-0.48939641109298526,7.0,2025-03-07
2025-03-25,买入,6.05,100,605.0,703,恒逸石化,震荡,,,,
2025-03-31,卖出,6.05,100,605.0,703,恒逸石化,震荡,0.0,0.0,6.0,2025-03-25
2024-06-04,买入,7.01,100,701.0,703,恒逸石化,熊市,,,,
2024-06-06,卖出,7.04,100,704.0,703,恒逸石化,熊市,3.0,0.42796005706134094,2.0,2024-06-04
2024-06-17,买入,6.98,100,698.0,703,恒逸石化,熊市,,,,
2024-06-18,卖出,6.95,100,695.0,703,恒逸石化,熊市,-3.0,-0.42979942693409745,1.0,2024-06-17
2024-07-01,买入,7.07,100,707.0,703,恒逸石化,熊市,,,,
2024-07-05,卖出,7.0,100,700.0,703,恒逸石化,熊市,-7.0,-0.9900990099009901,4.0,2024-07-01
2024-07-12,买入,7.45,100,745.0,703,恒逸石化,熊市,,,,
2024-07-18,卖出,7.47,100,747.0,703,恒逸石化,熊市,2.0,0.2684563758389262,6.0,2024-07-12
2024-08-01,买入,6.4,100,640.0,703,恒逸石化,熊市,,,,
2024-08-06,卖出,6.33,100,633.0,703,恒逸石化,熊市,-7.0,-1.09375,5.0,2024-08-01
2024-08-19,买入,6.15,100,615.0,703,恒逸石化,熊市,,,,
2024-08-22,卖出,6.21,100,621.0,703,恒逸石化,熊市,6.0,0.975609756097561,3.0,2024-08-19
2025-05-13,买入,15.32,100,1532.0,807,云铝股份,牛市,,,,
2025-05-16,卖出,15.58,100,1558.0,807,云铝股份,牛市,26.0,1.6971279373368149,3.0,2025-05-13
2025-05-19,买入,15.69,100,1569.0,807,云铝股份,牛市,,,,
2025-05-20,卖出,15.15,100,1515.0,807,云铝股份,牛市,-54.0,-3.4416826003824093,1.0,2025-05-19
2025-06-03,买入,14.6,100,1460.0,807,云铝股份,牛市,,,,
2025-06-04,卖出,14.56,100,1456.0,807,云铝股份,牛市,-4.0,-0.273972602739726,1.0,2025-06-03
2025-06-05,买入,14.68,100,1468.0,807,云铝股份,牛市,,,,
2025-06-10,买入,14.9,100,1490.0,807,云铝股份,牛市,,,,
