股票代码,文件名,日期,开盘,最高,最低,收盘,成交量,成交额
2432,SZ#002432.txt,2024/03/04,41.15,41.67,40.65,41.51,8893168.0,365932000.0
2432,SZ#002432.txt,2024/03/05,41.51,41.51,40.72,41.13,7083027.0,291182592.0
2432,SZ#002432.txt,2024/03/06,41.01,41.3,40.83,40.96,4766699.0,195464848.0
2432,SZ#002432.txt,2024/03/07,40.91,41.21,40.67,40.8,5873322.0,240498720.0
2432,SZ#002432.txt,2024/03/08,40.79,41.04,40.64,40.85,3724036.0,152039600.0
2432,SZ#002432.txt,2024/03/11,40.75,41.05,40.63,41.03,4662778.0,190652784.0
2432,SZ#002432.txt,2024/03/12,40.98,41.28,40.64,40.73,5376412.0,219664608.0
2432,SZ#002432.txt,2024/03/13,40.68,41.12,40.5,40.92,6332651.0,258538400.0
2432,SZ#002432.txt,2024/03/14,41.07,41.24,40.34,40.69,6630989.0,269731584.0
2432,SZ#002432.txt,2024/03/15,40.66,42.58,40.31,42.43,17145193.0,713235776.0
2432,SZ#002432.txt,2024/03/18,41.87,42.14,41.42,41.77,11777679.0,491262368.0
2432,SZ#002432.txt,2024/03/19,41.96,44.44,41.89,42.83,18708394.0,809245440.0
2432,SZ#002432.txt,2024/03/20,43.31,47.11,43.31,47.11,54276584.0,2495729664.0
2432,SZ#002432.txt,2024/03/21,49.88,51.82,48.9,50.05,75492621.0,3807702016.0
2432,SZ#002432.txt,2024/03/22,50.02,54.98,47.61,51.69,64491084.0,3260381440.0
2432,SZ#002432.txt,2024/03/25,53.61,54.0,48.3,48.43,58264183.0,2985876480.0
2432,SZ#002432.txt,2024/03/26,47.5,48.58,45.0,45.15,48254159.0,2247282176.0
2432,SZ#002432.txt,2024/03/27,45.02,45.65,43.24,43.51,27793439.0,1225629952.0
2432,SZ#002432.txt,2024/03/28,43.47,45.0,43.22,44.03,24049474.0,1062984896.0
2432,SZ#002432.txt,2024/03/29,43.97,44.79,43.63,44.12,16979180.0,749611904.0
2432,SZ#002432.txt,2024/04/01,44.05,44.12,42.73,43.66,21563748.0,935318144.0
2432,SZ#002432.txt,2024/04/02,43.65,43.65,42.52,42.62,15767959.0,675599936.0
2432,SZ#002432.txt,2024/04/03,42.48,42.88,41.56,41.6,13387588.0,563208448.0
2432,SZ#002432.txt,2024/04/08,41.57,41.7,40.55,40.55,11475836.0,471440896.0
2432,SZ#002432.txt,2024/04/09,40.55,41.94,40.34,41.84,12293122.0,507615456.0
2432,SZ#002432.txt,2024/04/10,41.7,41.7,40.68,40.87,8267161.0,339464960.0
2432,SZ#002432.txt,2024/04/11,40.58,41.29,40.48,40.66,6711436.0,274673504.0
2432,SZ#002432.txt,2024/04/12,40.51,40.7,40.07,40.17,7871752.0,317838752.0
2432,SZ#002432.txt,2024/04/15,40.21,41.55,40.08,40.49,11225629.0,458182976.0
2432,SZ#002432.txt,2024/04/16,40.1,41.6,39.88,40.56,14353056.0,584322880.0
2432,SZ#002432.txt,2024/04/17,40.32,41.14,39.72,40.9,13205833.0,536521312.0
2432,SZ#002432.txt,2024/04/18,40.69,40.77,39.93,40.34,11068091.0,447118784.0
2432,SZ#002432.txt,2024/04/19,40.29,41.14,39.94,40.55,9834305.0,397632192.0
2432,SZ#002432.txt,2024/04/22,40.5,40.5,40.03,40.27,5690452.0,229310704.0
2432,SZ#002432.txt,2024/04/23,40.37,41.38,40.2,41.17,10294771.0,420740864.0
2432,SZ#002432.txt,2024/04/24,41.02,42.16,40.53,41.9,11691169.0,483719392.0
2432,SZ#002432.txt,2024/04/25,41.63,42.13,41.59,41.94,7446747.0,312301792.0
2432,SZ#002432.txt,2024/04/26,41.92,42.48,41.53,42.27,10384127.0,437094816.0
2432,SZ#002432.txt,2024/04/29,41.0,42.2,40.68,41.14,16534365.0,684093312.0
2432,SZ#002432.txt,2024/04/30,41.15,41.58,39.72,40.09,12216584.0,496584832.0
2432,SZ#002432.txt,2024/05/06,40.24,40.87,40.24,40.61,10033788.0,407243136.0
2432,SZ#002432.txt,2024/05/07,41.3,43.3,41.3,42.65,24527200.0,1040815168.0
2432,SZ#002432.txt,2024/05/08,44.52,46.92,43.8,46.92,41037740.0,1872411008.0
